0	1	499
0.1	1.0399	498.96
0.2	1.08139	498.919
0.3	1.12453	498.875
0.4	1.16938	498.831
0.5	1.21602	498.784
0.6	1.26451	498.735
0.7	1.31493	498.685
0.8	1.36736	498.633
0.9	1.42186	498.578
1	1.47854	498.521
1.1	1.53746	498.463
1.2	1.59872	498.401
1.3	1.66242	498.338
1.4	1.72864	498.271
1.5	1.79748	498.203
1.6	1.86906	498.131
1.7	1.94347	498.057
1.8	2.02083	497.979
1.9	2.10126	497.899
2	2.18487	497.815
2.1	2.27178	497.728
2.2	2.36214	497.638
2.3	2.45607	497.544
2.4	2.55371	497.446
2.5	2.6552	497.345
2.6	2.76071	497.239
2.7	2.87037	497.13
2.8	2.98436	497.016
2.9	3.10285	496.897
3	3.226	496.774
3.1	3.354	496.646
3.2	3.48703	496.513
3.3	3.6253	496.375
3.4	3.76899	496.231
3.5	3.91833	496.082
3.6	4.07353	495.926
3.7	4.23481	495.765
3.8	4.40241	495.598
3.9	4.57657	495.423
4	4.75754	495.242
4.1	4.94558	495.054
4.2	5.14095	494.859
4.3	5.34395	494.656
4.4	5.55485	494.445
4.5	5.77396	494.226
4.6	6.00158	493.998
4.7	6.23805	493.762
4.8	6.48368	493.516
4.9	6.73882	493.261
5	7.00383	492.996
5.1	7.27908	492.721
5.2	7.56494	492.435
5.3	7.86182	492.138
5.4	8.17011	491.83
5.5	8.49024	491.51
5.6	8.82264	491.177
5.7	9.16776	490.832
5.8	9.52607	490.474
5.9	9.89804	490.102
6	10.2842	489.716
6.1	10.685	489.315
6.2	11.1009	488.899
6.3	11.5326	488.467
6.4	11.9807	488.019
6.5	12.4455	487.554
6.6	12.9279	487.072
6.7	13.4283	486.572
6.8	13.9474	486.053
6.9	14.4858	485.514
7	15.0442	484.956
7.1	15.6234	484.377
7.2	16.2239	483.776
7.3	16.8465	483.153
7.4	17.492	482.508
7.5	18.1611	481.839
7.6	18.8546	481.145
7.7	19.5732	480.427
7.8	20.3178	479.682
7.9	21.0893	478.911
8	21.8883	478.112
8.1	22.716	477.284
8.2	23.573	476.427
8.3	24.4604	475.54
8.4	25.3789	474.621
8.5	26.3297	473.67
8.6	27.3136	472.686
8.7	28.3315	471.669
8.8	29.3845	470.616
8.9	30.4735	469.526
9	31.5996	468.4
9.1	32.7637	467.236
9.2	33.9669	466.033
9.3	35.2102	464.79
9.4	36.4947	463.505
9.5	37.8213	462.179
9.6	39.1911	460.809
9.7	40.6051	459.395
9.8	42.0645	457.936
9.9	43.5701	456.43
10	45.1231	454.877
10.1	46.7244	453.276
10.2	48.375	451.625
10.3	50.076	449.924
10.4	51.8283	448.172
10.5	53.6328	446.367
10.6	55.4905	444.51
10.7	57.4022	442.598
10.8	59.3688	440.631
10.9	61.391	438.609
11	63.4698	436.53
11.1	65.6057	434.394
11.2	67.7996	432.2
11.3	70.0519	429.948
11.4	72.3632	427.637
11.5	74.7341	425.266
11.6	77.165	422.835
11.7	79.6561	420.344
11.8	82.2078	417.792
11.9	84.8203	415.18
12	87.4937	412.506
12.1	90.2279	409.772
12.2	93.0229	406.977
12.3	95.8785	404.121
12.4	98.7944	401.206
12.5	101.77	398.23
12.6	104.805	395.195
12.7	107.899	392.101
12.8	111.051	388.949
12.9	114.26	385.74
13	117.524	382.476
13.1	120.844	379.156
13.2	124.218	375.782
13.3	127.643	372.357
13.4	131.12	368.88
13.5	134.645	365.355
13.6	138.218	361.782
13.7	141.837	358.163
13.8	145.498	354.502
13.9	149.201	350.799
14	152.943	347.057
14.1	156.722	343.278
14.2	160.534	339.466
14.3	164.379	335.621
14.4	168.252	331.748
14.5	172.151	327.849
14.6	176.073	323.927
14.7	180.016	319.984
