0	1	0.01	0
0.69903	0.349515	0.00452691	-0.0337405
1.01236	0.156667	-0.0183502	-0.147086
1.22286	0.105246	-0.0696875	-0.395157
1.38223	0.0796868	-0.161644	-0.83126
1.52026	0.0690137	-0.319136	-1.53976
1.6563	0.0680198	-0.594916	-2.56037
1.83057	0.087139	-1.12995	-3.0138
1.89578	0.0326039	-1.31197	-2.48353
1.9686	0.0364078	-1.46404	-1.67572
2.04617	0.0387861	-1.56257	-0.922371
2.12021	0.0370198	-1.61072	-0.439547
2.19494	0.0373666	-1.63116	-0.152052
2.27741	0.041235	-1.63539	0.0179695
2.37567	0.0491297	-1.62777	0.115116
2.49999	0.0621603	-1.60935	0.167248
2.66837	0.0841877	-1.57816	0.195485
2.91774	0.124686	-1.52631	0.217274
3.34695	0.214607	-1.42537	0.256294
4.25436	0.453704	-1.13147	0.482377
4.51008	0.127859	-0.989494	0.664494
4.70987	0.0998935	-0.83103	0.980889
4.85213	0.0711289	-0.663273	1.45571
4.95748	0.0526795	-0.479342	2.13232
5.03907	0.0407942	-0.272532	3.04624
5.10739	0.0341596	-0.0272286	4.24741
5.17534	0.0339738	0.31415	5.88753
5.23977	0.0322147	0.745933	7.36
5.27721	0.0187214	1.02955	7.61331
5.31025	0.0165208	1.27646	7.15901
5.34518	0.0174618	1.509	6.00974
5.37768	0.016253	1.68229	4.61511
5.41908	0.0207008	1.83671	2.92255
5.45215	0.016534	1.91472	1.87819
5.4863	0.0170759	1.96459	1.12315
5.52041	0.0170545	1.99353	0.633608
5.55754	0.0185643	2.01017	0.30915
5.59973	0.0210918	2.01811	0.102811
5.64959	0.024932	2.01954	-0.0198226
5.71103	0.0307213	2.01576	-0.0857834
5.79055	0.0397614	2.00728	-0.1167
5.90017	0.0548061	1.9935	-0.129141
6.06455	0.0821909	1.97162	-0.134444
6.33899	0.137218	1.93384	-0.139041
6.83527	0.248145	1.86164	-0.141889
7.14877	0.156746	1.81388	-0.150499
7.44862	0.149925	1.76613	-0.161076
7.78981	0.170599	1.70856	-0.17294
8.27068	0.240431	1.62032	-0.192409
9.07602	0.402673	1.4461	-0.251099
9.77482	0.349397	1.24282	-0.369618
10.3518	0.288473	0.968848	-0.698297
10.5224	0.0853352	0.829234	-0.984691
10.6655	0.0715483	0.659508	-1.46753
10.7702	0.0523457	0.475295	-2.14838
10.8514	0.040612	0.267895	-3.06766
10.9196	0.0340718	0.021535	-4.27538
10.9873	0.0338751	-0.320872	-5.91683
11.0518	0.0322372	-0.754701	-7.3775
11.0889	0.0185358	-1.03574	-7.60975
11.1219	0.0164937	-1.28187	-7.14019
11.1567	0.0173992	-1.51275	-5.98414
11.1892	0.0162778	-1.68537	-4.58512
11.2311	0.020914	-1.83984	-2.88275
